dataset,status,n_features,refinement_type,r2,rmse,complexity,seconds,error,noise_strength,expr
1030_ERA,success,4,lso,0.414913714500045,1.5011224317631586,77,40410.32290816307,,0.01,(0.3330446126902998 add ((0.0988572173211496 mul (((0.3012876803480667 mul x_1) add (2.438115304981116 mul cos((-3.3783058631706835 add (0.5345324827129908 mul x_1))))) mul ((0.0005063252063122823 mul (((-62.30979293649772 mul sin((0.20793605159323178 add (-6.162436362131908 mul x_3)))) add ((-15.058607666823688 mul cos((-0.7286147005889786 add (9.694771940342555 mul x_0)))) add (6.275308797322179 mul x_1))) mul ((16.339036589562845 mul x_2) sub (-15.73916436246653 mul x_2)))) add ((1.6677408675625514 mul cos((1.1515754474059867 add (-9.323799435178449 mul x_1)))) sub (0.01602422204041434 mul x_0))))) sub ((-0.09674540559519526 mul x_2) sub ((0.1825370263684845 mul x_1) sub ((-0.1552154416465872 mul x_0) add (-0.0923551570645513 mul x_3))))))
1089_USCrime,failed,0,lso,nan,nan,nan,nan,Input dimension 13 exceeds max_input_dimension 10,0.01,
1096_FacultySalaries,success,4,lso,-710.4624176503174,163.0659731682994,31,701.1811189651489,,0.01,(1816.5910950474934 add (((-0.01819878333654255 mul x_0) add ((-0.8160259251672792 mul x_3) add (-1.0509204046280203 mul x_2))) sub ((10.036429209425522 mul abs((-24.92840144369894 add (-2.068251802770241 mul x_1)))) sub (-2.835569929303257 mul abs((551.7408029379511 add (-8.297058745688934 mul x_1)))))))
1199_BNG_echoMonths,success,9,lso,0.452133087609642,11.713571656438413,55,27347.82763648033,,0.01,(58.18146432272315 add (((0.9405133907312874 mul (((0.7825461713378609 mul x_0) sub (-0.11290890424840326 mul sqrt((72.4758774373914 add (1.4401396953430043 mul x_1))))) mul ((-0.05567672793827003 mul x_6) add ((2.044953032658052 mul x_2) sub ((41.30702954486984 mul cos((2.1001912339841025 add (1.994956955941784 mul x_8)))) add (-0.04213313615272808 mul abs((2.4801755702707444 add (40.77838019160459 mul x_7))))))))) sub (0.10670200717348775 mul (x_3 mul x_5))) mul cos((3.706719408243241 add (-0.027329936583050572 mul x_4)))))
192_vineyard,success,2,lso,0.5823288828581843,3.4953537779572863,33,4816.284688234329,,0.01,(10.436803671395706 add ((1.953249701370747 mul x_0) sub (-3.9928145614413952 mul sin(((-2.243291803575064 mul cos((0.8337237715031277 add (0.7507863702655426 mul x_0)))) add (-0.9615001643387512 mul cos((7.51920369122846 add (1.0461055624665254 mul (sin((0.94708515174337 add (-7.042026863476089 mul x_1))) mul x_1))))))))))
197_cpu_act,failed,0,lso,nan,nan,nan,nan,Input dimension 21 exceeds max_input_dimension 10,0.01,
218_house_8L,success,8,lso,0.43005070212446717,39737.33506241006,49,8879.287729978561,,0.01,(7360.612915550292 add (((0.23214060806929862 mul ((-110.14877677100198 add (34.35397943463628 mul x_6)))**2) sub (540.0376361119907 mul x_4)) mul (((51.56801191121987 mul x_2) sub (12.62000589638023 mul x_3)) add ((0.732251204189259 mul abs(((-370.7462973255283 mul x_1) add (1.4267666909040244e-14 mul cos((0.3961381939603618 add (70.70992338693767 mul x_0))))))) sub (-2331.314744690046 mul inv(((68.16159044973946 mul x_5) add (-1561.8212496407523 mul x_0))))))))
225_puma8NH,success,8,lso,0.6840478865750721,3.211109346559456,21,4333.645620584488,,0.01,(-0.20404178251514485 add ((-5.247644825812606 mul sin(((-1.0391917912403463 mul x_1) add (-1.2046597420803895 mul x_2)))) add (-3.563962825489489 mul sin((-0.9510065323951824 add (-1.006487776845716 mul x_1))))))
227_cpu_small,failed,0,lso,nan,nan,nan,nan,Input dimension 12 exceeds max_input_dimension 10,0.01,
228_elusage,success,2,lso,0.7440324344802497,13.617310080812583,31,1832.7794194221497,,0.01,(18.09605292033026 add ((0.0016481261659671465 mul ((-365.4565664901775 add (5.2098402001359085 mul x_0)))**2) add (9.55964044798825 mul sin(((-3.923186538129644 mul cos((1.8508286712716626 add (-0.09080361802391661 mul x_0)))) add (-6.832176025839773 mul sin((1.1255174359948976 add (97.53665060139463 mul x_0)))))))))
230_machine_cpu,success,6,lso,0.9306421868681454,49.82987632231281,24,1068.8165714740753,,0.01,(31.551276116812357 add ((0.9342214252472124 mul x_3) sub ((-0.0036638851675691274 mul x_2) add ((20.681039017661465 mul arctan((-153070212.4347804 add (5612027.601138509 mul x_0)))) sub (0.00038539468299192853 mul (x_1 mul x_5))))))
505_tecator,failed,0,lso,nan,nan,nan,nan,Input dimension 124 exceeds max_input_dimension 10,0.01,
522_pm10,success,7,lso,0.27474140348417553,0.7296821571792748,43,9055.03238582611,,0.01,(3.8640197226284103 add (((-0.08318464339066135 mul x_2) sub ((-0.16232885917729534 mul cos((-2.031607024637885 add (-0.05124701738498171 mul x_4)))) sub (-0.38776574207673953 mul cos((-7.217966484614358 add (0.08588796968925959 mul x_5)))))) mul ((2.2044251618382815 mul cos((1.8620102423667464 add (-0.4288575253160848 mul x_0)))) sub (-0.8515006844139913 mul cos(((0.11166796052549051 mul x_1) add (-1.0358330962609885 mul x_3)))))))
527_analcatdata_election2000,failed,0,lso,nan,nan,nan,nan,Input dimension 14 exceeds max_input_dimension 10,0.01,
529_pollen,success,4,lso,0.7972608209267272,1.4267851254512907,13,497.5157423019409,,0.01,(0.0138195109692089 add ((-0.8462177861559923 mul x_0) sub ((0.3928852265651534 mul x_3) add (-0.2176677027870885 mul x_1))))
537_houses,success,8,lso,0.6455273569806852,68802.62244102366,44,13618.439368963242,,0.01,(-9299350.09154249 add ((1.2687394082465762 mul (((-0.1254701013995939 mul ((53.4485447113667 add (0.16091761887698497 mul x_0)))**2) sub (-0.00039963562225352834 mul x_2)) mul ((-0.27707305396091797 mul ((254.3792923264422 add (0.019216918527944923 mul x_1)))**2) sub (-101.54492313592314 mul x_6)))) add ((155.52375665546847 mul x_3) sub (-3.21723062212071 mul (((0.007120767632110223 mul x_4) add (7.81005923909519 mul x_7)))**2))))
542_pollution,failed,0,lso,nan,nan,nan,nan,Input dimension 15 exceeds max_input_dimension 10,0.01,
547_no2,success,7,lso,0.4957999274666097,0.5553418146172069,44,10962.381216526031,,0.01,(0.7776639369769192 add (inv((-116.63285112215371 add (0.010435147850299406 mul x_4))) mul ((-17.32794391595157 mul x_3) sub (((-2.4904993019581005 mul x_1) add (57.4522699953497 mul x_0)) sub ((13.315316120460881 mul x_2) add ((2.114144573116223 mul x_5) add (-8.660563679265547 mul cos(((-1.721069282570416 mul x_6) add (0.6999990036567325 mul exp((0.6999953624055901 add (-6.799954090590675 mul x_4)))))))))))))
560_bodyfat,failed,0,lso,nan,nan,nan,nan,Input dimension 14 exceeds max_input_dimension 10,0.01,
561_cpu,success,7,lso,0.9950264324906557,12.37206892505887,33,125.32744455337524,,0.01,(8.066919207262545 add ((0.6891868507800232 mul x_4) sub ((-0.2523957653174831 mul x_5) sub ((0.0020540436476214367 mul x_3) add (0.25512291190100495 mul (x_3 mul ((0.0001483189065863852 mul x_6) add ((0.00010997966258086313 mul x_0) sub ((3.242264255754188e-06 mul x_1) sub (1.652115466645946e-06 mul x_2))))))))))
562_cpu_small,failed,0,lso,nan,nan,nan,nan,Input dimension 12 exceeds max_input_dimension 10,0.01,
564_fried,success,10,lso,0.959231974243658,1.014372632143588,31,4791.411812067032,,0.01,(22.19911075706738 add ((9.976239907093564 mul x_3) add ((5.00807887626031 mul x_4) sub ((21.954999993664515 mul sin((0.8894613952086264 add (1.3696390304722004 mul x_2)))) add (-9.756586250751543 mul sin(((3.1705059256000783 mul (x_0 mul x_1)) add (-0.034290559474028495 mul x_5))))))))
573_cpu_act,failed,0,lso,nan,nan,nan,nan,Input dimension 21 exceeds max_input_dimension 10,0.01,
574_house_16H,failed,0,lso,nan,nan,nan,nan,Input dimension 16 exceeds max_input_dimension 10,0.01,
579_fri_c0_250_5,success,5,lso,0.9595341129018365,0.20515850368975275,36,11565.95026063919,,0.01,(-1.4560285368543195 add ((0.33428330206535756 mul (x_2 mul x_2)) sub ((-0.6154440052077551 mul x_3) add ((-0.294259426776412 mul x_4) add (2.0624715859661085 mul sin((-0.02360962112442408 add (8.131939870986727 mul (sin((-0.3193889624446578 add (-0.18651615389386633 mul x_1))) mul sin((0.32236321168493315 add (0.19281142556373732 mul x_0))))))))))))
581_fri_c3_500_25,failed,0,lso,nan,nan,nan,nan,Input dimension 25 exceeds max_input_dimension 10,0.01,
582_fri_c1_500_25,failed,0,lso,nan,nan,nan,nan,Input dimension 25 exceeds max_input_dimension 10,0.01,
583_fri_c1_1000_50,failed,0,lso,nan,nan,nan,nan,Input dimension 50 exceeds max_input_dimension 10,0.01,
584_fri_c4_500_25,failed,0,lso,nan,nan,nan,nan,Input dimension 25 exceeds max_input_dimension 10,0.01,
586_fri_c3_1000_25,failed,0,lso,nan,nan,nan,nan,Input dimension 25 exceeds max_input_dimension 10,0.01,
588_fri_c4_1000_100,failed,0,lso,nan,nan,nan,nan,Input dimension 100 exceeds max_input_dimension 10,0.01,
589_fri_c2_1000_25,failed,0,lso,nan,nan,nan,nan,Input dimension 25 exceeds max_input_dimension 10,0.01,
590_fri_c0_1000_50,failed,0,lso,nan,nan,nan,nan,Input dimension 50 exceeds max_input_dimension 10,0.01,
591_fri_c1_100_10,success,10,lso,-0.7361131901786944,1.2026238507702527,48,7087.415266036987,,0.01,(-0.19890568631016609 add (inv((54.09270207923637 add (-22.160373692523688 mul x_1))) mul ((-199.44168669979248 mul arctan(((1.0447323503441257 mul x_1) add (0.8391316865081987 mul x_0)))) add ((66.59542411374275 mul x_0) add ((93.90209589410922 mul x_1) add ((-0.24021934145309592 mul x_2) sub ((-14.135461563662552 mul x_3) sub ((5.687617345057011 mul x_4) sub (19.46621648945902 mul arctan((-292.5238450227089 add (186.1849274491875 mul x_1))))))))))))
592_fri_c4_1000_25,failed,0,lso,nan,nan,nan,nan,Input dimension 25 exceeds max_input_dimension 10,0.01,
593_fri_c1_1000_10,success,10,lso,0.9583881174911557,0.21337617134556677,40,6722.3027086257935,,0.01,(-0.44289389317694017 add ((0.18813846467927017 mul x_4) add ((0.3838570392955868 mul x_3) add ((-0.0035654136699023215 mul x_5) sub ((1.3309443825457672 mul cos(((-1.3886038351026226 mul x_1) add (2.7609898007658598 mul cos((5.6093085525677395 add (-0.6664208596487265 mul x_0))))))) sub (0.02073741828186434 mul (((-2.6995981727325247 mul x_2) add (1.461368075876009 mul x_1)))**2))))))
594_fri_c2_100_5,success,5,lso,0.8898336565509586,0.3470279710649515,39,4690.327738523483,,0.01,(-0.11488192482859588 add ((0.3169963085963322 mul x_3) add ((0.25880394649095834 mul ((-0.6298684007095061 add (0.8607866866690205 mul x_2)))**2) add ((-1.1368109559073738 mul sin(((1.5208249475565576 mul x_1) add (-2.1213416857383516 mul sin((0.5948478887444866 add (-0.7988201491988408 mul x_0))))))) add (0.7939763209002413 mul sin((-0.5128401167358158 add (-1.155678283692342 mul x_1))))))))
595_fri_c0_1000_10,success,10,lso,0.9360738551189237,0.2638248614133275,33,2586.455679178238,,0.01,(-0.17512996545401688 add ((0.5867694303700822 mul x_3) sub ((-0.300513861921209 mul x_4) add ((-0.32087627221822956 mul (x_2 mul x_2)) add (-0.9220841600010643 mul sin(((0.8973013482751936 mul x_1) add (55.261464932296505 mul (x_0 mul cos((-1.5551132252486726 add (0.007250236650117637 mul x_1))))))))))))
596_fri_c2_250_5,success,5,lso,0.9387322284198601,0.2340543016336057,30,2616.5557069778442,,0.01,(-0.3252316891457553 add ((0.2232780286769963 mul x_4) add ((0.24006416132800756 mul x_3) sub (1.4018026829440637 mul sin(((0.8881918169666904 mul ((1.1232460117646084 add (0.5678401420941859 mul x_0)))**2) add (-2.8285413221299067 mul cos((-0.9669752841336233 add (-0.701713212454273 mul x_1))))))))))
597_fri_c2_500_5,success,5,lso,0.9800236762842273,0.14370849407819325,39,8376.599221229553,,0.01,(14.339952520892357 add ((0.37801143968498435 mul x_3) add ((0.20231103113038143 mul x_4) sub ((1.338743511845986 mul sin((-3.1155315026164367 add (1.6475114932550288 mul (abs((-11.135161317919025 add (-4.805375217968573 mul x_0))) mul cos((-1.4420822787745915 add (0.07622725897375673 mul x_1)))))))) sub (14.977889660039882 mul sin((-1.7177530566668489 add (0.151672033931119 mul x_2))))))))
598_fri_c0_1000_25,failed,0,lso,nan,nan,nan,nan,Input dimension 25 exceeds max_input_dimension 10,0.01,
599_fri_c2_1000_5,success,5,lso,0.9828587831233254,0.1341111029118156,39,8230.200448274612,,0.01,(5.60742754281157 add ((0.19563478547036534 mul x_4) add ((0.3479267842121305 mul x_3) sub ((-6.178265638649217 mul cos((9.213660924064625 add (0.22990284621941534 mul x_2)))) sub (-1.2977188622644815 mul cos((1.3129286696849616 add (-2.7245028354105267 mul (((3.656509012136203 add (0.6586497222206327 mul x_0)))**2 mul cos((-4.638011317729301 add (0.037615782697478374 mul x_1))))))))))))
601_fri_c1_250_5,success,5,lso,0.9840866246856118,0.1356776045992882,38,4395.398866415024,,0.01,(-0.5243342059718028 add ((0.38746276646424566 mul x_3) add ((0.18707474582980052 mul x_4) add ((0.24821910105549877 mul (x_2 mul x_2)) sub (-1.3262319376939706 mul cos(((-89.41861827281824 mul sin((0.007870133461651123 add (0.015293371804418044 mul x_1)))) add (67.22633954261212 mul (x_0 mul cos((1.585217677150713 add (0.008480820406286458 mul x_1))))))))))))
602_fri_c3_250_10,success,10,lso,0.9462605169588385,0.2483970245439515,43,3862.222121477127,,0.01,(-0.3627622590694292 add (inv((-253.41269232341693 add (-0.6196193524418516 mul x_0))) mul ((113.55626053750066 mul x_2) sub ((167.42414438350724 mul x_4) sub ((-97.00253076372252 mul x_3) sub (-341.21659240655293 mul cos(((2.5075437091963635 mul x_1) add (1492.1289772361595 mul (cos((1.4912462492742111 add (-0.043232354396463904 mul x_1))) mul arctan((-0.019098773414838236 add (0.008949102545129522 mul x_0)))))))))))))
603_fri_c0_250_50,failed,0,lso,nan,nan,nan,nan,Input dimension 50 exceeds max_input_dimension 10,0.01,
604_fri_c4_500_10,success,10,lso,0.930825272697178,0.2806251375225704,32,4834.074611663818,,0.01,(-0.48815003852869643 add ((0.30763009150462073 mul x_3) sub ((-0.32892573899939964 mul x_4) sub (-1.4308363553942678 mul sin(((0.7606196461620747 mul sqrt((51.535035804738 add (19.162903713292383 mul x_0)))) add (3.202588752705729 mul (x_1 mul cos((-1.1372816142155848 add (0.2799917313176144 mul x_0)))))))))))
605_fri_c2_250_25,failed,0,lso,nan,nan,nan,nan,Input dimension 25 exceeds max_input_dimension 10,0.01,
606_fri_c2_1000_10,success,10,lso,0.9801934162964461,0.14224093299313326,41,5697.075028419495,,0.01,(12.140880695673234 add ((12.824961745176356 mul cos((-2.9608432521248966 add (-0.14965479947264998 mul x_2)))) add ((0.18953311352367766 mul x_4) sub ((-0.3974625736664073 mul x_3) sub (-1.3750110620428455 mul sin(((-1.2993158168676624 mul x_1) add (-67.4973466109551 mul cos((1.5374187131284411 add (-0.590578607420601 mul (x_0 mul sin((6.308751367506936 add (0.014509925303091363 mul x_1)))))))))))))))
607_fri_c4_1000_50,failed,0,lso,nan,nan,nan,nan,Input dimension 50 exceeds max_input_dimension 10,0.01,
