dataset,status,n_features,refinement_type,r2,rmse,complexity,seconds,error,noise_strength,expr
1030_ERA,success,4,lso,0.41640388239815174,1.4992095937357033,84,38636.491163253784,,0.0,(-0.5507208281478244 add (((0.16752763649414865 mul x_1) sub (-0.16886666098284311 mul x_0)) sub (((-0.017136675649325854 mul (((0.45712851810035443 mul cos((1.500989480582385 add (-2.853872474895538 mul x_1)))) add (0.5866240342588428 mul cos((1.0232607305386718 add (-7.720518565528097 mul x_1))))) mul ((-47.91277040907323 mul cos((1.5937825637724155 add (-6.951444823512866 mul x_1)))) add (((3.178674024444337 mul x_0) add (-11.649395608345097 mul x_3)) sub (-3.8329530716411426 mul x_2))))) add ((0.3297714720806423 mul cos((1.5817848709034206 add (-8.468078420935015 mul x_2)))) sub (0.15079998466502734 mul x_2))) add ((0.6170043780552062 mul cos((-1.8818994375332032 add (-0.9336531888403963 mul x_1)))) add ((-0.26752763649422306 mul x_1) sub ((-0.1200191037623874 mul x_1) add (0.02554705309270323 mul x_3)))))))
1089_USCrime,failed,0,lso,nan,nan,nan,nan,Input dimension 13 exceeds max_input_dimension 10,0.0,
1096_FacultySalaries,success,4,lso,-0.5627398736025688,7.642416659417651,25,641.0194389820099,,0.0,(43.62162007179616 add (((4.1549919595729055 mul x_3) add (0.020108471404712922 mul (x_2 mul ((6.29124141680473 mul x_2) add (-10.453008912983877 mul x_1))))) mul ((0.03417661867922146 mul x_1) sub (0.04276139909876119 mul x_3))))
1199_BNG_echoMonths,success,9,lso,0.44985540691536385,11.73789517693609,65,22849.814254760742,,0.0,(-430.55503978846525 add (((2.468391376661301 add (-4.92009996909659 mul x_8)))**2 mul (((-2.836522751255359 mul (((-3.3470964013220965e-05 mul (x_5 mul x_3)) add (0.0005552166677848693 mul x_4)) mul x_1)) add (-12.057159711231009 mul (((-9.945314550856365e-06 mul x_6) sub (0.00019858587938783193 mul x_4)) mul x_4))) sub ((388.8881817490406 mul x_0) sub ((-0.5463954713658394 mul x_2) sub (-54.76977698527339 mul (((0.0019433914516879351 mul x_7) add (-2.9216418178948422 mul cos((-1.1543010160314533 add (1.0590080217115345 mul (x_0 mul cos((0.03688549492136284 add (-0.24006624539817256 mul x_3))))))))))**2))))))
192_vineyard,success,2,lso,0.5510064090234594,3.624048389269442,33,4753.95932841301,,0.0,(10.671298737684847 add ((3.773456327645831 mul sin(((2.214103414044607 mul sin((-0.722329550758698 add (0.7250806265946622 mul x_0)))) add (0.9685069567750169 mul cos((-10.832373535501981 add (-11.825052289768326 mul (sin((6.174713608899979 add (-17.48836241689118 mul x_1))) mul x_1)))))))) add (1.8821073779031452 mul x_0)))
197_cpu_act,failed,0,lso,nan,nan,nan,nan,Input dimension 21 exceeds max_input_dimension 10,0.0,
218_house_8L,success,8,lso,0.47783007089204643,38035.2745760661,40,5100.401722431183,,0.0,(-34668.05706771332 add ((259.23790825858026 mul abs((324.70179858036437 add (-871.7567824806268 mul x_2)))) add ((5.026323690192315 mul (((99.8446528359598 mul sin((0.6085543171473492 add (-8.279383633394389 mul x_1)))) sub (25.739055365534796 mul x_6)))**2) add ((-4.7214893297522 mul ((x_4 mul (x_7 mul x_5)) mul x_0)) add (4598.442899564513 mul x_3)))))
225_puma8NH,success,8,lso,0.6837543714262431,3.2126005384281338,25,2284.853327035904,,0.0,(-0.19177130794792116 add ((-0.05243624249112721 mul x_0) add ((5.249387158529141 mul sin(((1.2048025380734704 mul x_2) add (1.0391472937360993 mul x_1)))) sub (-3.5543130791785718 mul cos((-0.6225771019121966 add (1.0083637523165394 mul x_1)))))))
227_cpu_small,failed,0,lso,nan,nan,nan,nan,Input dimension 12 exceeds max_input_dimension 10,0.0,
228_elusage,success,2,lso,0.17339784014234805,24.47074130295331,28,2466.0263419151306,,0.0,(51.701855887736514 add ((-0.5939656448300641 mul x_0) sub (91.15857496225604 mul inv(((-0.10466225403709925 mul x_0) add (2.2748656889370906 mul cos(((-2.6129475852977015 mul sin((-2.340699370389958 add (-92.8975521714993 mul x_0)))) add (-0.5038148324985334 mul x_1)))))))))
