noise_strength,group,r2_mean,r2_std,r2_valid_count,total_count,recovery_rate,complexity_mean,complexity_std,complexity_count,seconds_mean,seconds_std,seconds_count
0,Feynman,0.9854903303067363,0.027565528975227058,119,119,0.9915966386554622,23.907563025210084,7.163154552066019,119,1113.9627829359358,1824.1510577159677,119
0,Strogatz,0.9252171845393121,0.2354697295107255,14,14,0.9285714285714286,19.714285714285715,7.477858473315658,14,517.5719492776053,1299.5790994507076,14
0,Black-box,0.8199594451077395,0.2386926488929724,65,107,0.6461538461538462,34.44117647058823,12.45743618337962,68,4984.176131202894,5590.487628976592,68
0.001,Feynman,0.9884437911206827,0.014697187885394498,119,119,1.0,23.66386554621849,7.0820845230769605,119,1009.8225892531772,1699.5906106394966,119
0.001,Strogatz,0.9246897023744755,0.23551146574304455,14,14,0.9285714285714286,19.785714285714285,7.408282733618129,14,392.96269765922,886.133500786822,14
0.001,Black-box,0.8350853897971727,0.20946719383725973,65,107,0.6307692307692307,33.411764705882355,12.699276605286535,68,5067.042709641597,5679.542459572331,68
0.01,Feynman,0.9888269534640275,0.013881801518125021,119,119,1.0,23.73109243697479,7.234020325316045,119,968.6178650715772,1478.7972704975114,119
0.01,Strogatz,0.9726771976931942,0.06217490484156807,14,14,0.9285714285714286,20.928571428571427,8.48918880286051,14,227.8149266583579,568.9621200853992,14
0.01,Black-box,0.8357717326300568,0.20563599304414884,62,107,0.6612903225806451,34.01470588235294,10.971209176560611,68,4955.522230839028,5906.595598143184,68
0.1,Feynman,0.9867834232868996,0.019239471887881856,119,119,0.9915966386554622,21.025210084033613,8.372084652370217,119,2418.2874334659896,1760.054370059314,119
0.1,Strogatz,0.9164509860371354,0.24778987013176743,14,14,0.9285714285714286,18.642857142857142,5.813864498607038,14,1488.566471338272,1446.3069993559573,14
0.1,Black-box,0.8085234727243508,0.24463403967096184,60,107,0.6166666666666667,38.38235294117647,15.122081061816141,68,5868.830411507803,6433.438223389939,68
