dataset,status,n_features,refinement_type,r2,rmse,complexity,seconds,error,noise_strength,expr
1030_ERA,success,4,lso,0.3507914999431555,1.7431452789902668,36,709.3999140262604,,0.1,(2.693830260965181 add (((2.024704885546092 mul sin((-4.500364583882498 add (0.2969759027058926 mul (x_3 mul x_2))))) sub (0.7626572205439548 mul x_1)) mul ((-0.050512690992106556 mul x_0) add (0.13518301197482596 mul cos(((2.682937558055097 mul inv((1.3835916375357842 add (-2.145528192823183 mul x_1)))) add (-5.925424302111778 mul x_3)))))))
1089_USCrime,failed,0,lso,nan,nan,nan,nan,Input dimension 13 exceeds max_input_dimension 10,0.1,
1096_FacultySalaries,success,4,lso,-2.5161025850893166,11.46352370773822,43,729.6457600593567,,0.1,(38.37541994474581 add (((12.37713489125618 mul sin((-25.599001363076376 add (0.2849388666610896 mul x_3)))) sub (11.374244294371087 mul cos((24.64034270901161 add (-2.0433727257213294 mul (inv((3.3941451855568885 add (0.04368118887872027 mul x_1))) mul x_2)))))) mul ((0.017536043625956933 mul x_3) add ((0.6522578114043946 mul cos((5.139771832442507 add (-0.6780325183890099 mul x_2)))) sub (1.1534828531873147 mul x_0)))))
1199_BNG_echoMonths,success,9,lso,0.34187569774719484,11.869356452429798,47,1229.0272240638733,,0.1,(-469.86902848046844 add (inv((2.352551577388793 add (0.0639331489631283 mul x_0))) mul ((-29.35825307744416 mul x_8) add ((0.00015330094191548318 mul (((208.46081068106545 mul (x_2 mul x_1)) sub (-35.63475955720366 mul ((96.10303650239072 add (-0.6454375668599209 mul x_6)))**2)) mul arctan((36.28743444759583 add (-41.629790063827265 mul x_7))))) add (110.32261173035378 mul sqrt((125.4295361994208 add (0.28534280139368684 mul (x_3 mul x_5)))))))))
192_vineyard,success,2,lso,0.537894095028123,3.676585550350246,33,493.1221022605896,,0.1,(-376.61887267472275 add ((-398.7362600837515 mul cos((9.17303747506466 add (0.04086748674794403 mul x_0)))) sub (-2.9365750414681666 mul sin(((-0.5736194493824589 mul x_1) sub (-0.00021545043386676205 mul (((-157.63000536321636 mul sin((2.1069454240531296 add (44.77537829927167 mul x_0)))) add (-5.3692399785242655 mul x_0)))**2))))))
197_cpu_act,failed,0,lso,nan,nan,nan,nan,Input dimension 21 exceeds max_input_dimension 10,0.1,
218_house_8L,success,8,lso,0.4849677608998253,34603.77648416873,49,878.4235789775848,,0.1,(-40884.613232183015 add ((0.020463536929995422 mul ((2048.8807604197864 add (-372.8553419211723 mul x_6)))**2) add ((2.1156049479524914 mul (((3.6164678022478634 mul ((-81.8884330578973 add (35.72433593831771 mul x_3)))**2) sub (10294.299327662207 mul x_7)) mul abs(((1.5115659604586866 mul arctan((-0.029554851737868964 add (0.001970323561401494 mul x_0)))) add (42.31736644668318 mul x_1))))) sub ((-68636.42624257616 mul (x_5 mul x_4)) sub (130197.45220549472 mul x_2)))))
225_puma8NH,success,8,lso,0.5387236980162733,3.367877708388172,41,672.866138458252,,0.1,(-1.3625531413084624 add (((-0.03531615483446619 mul x_0) add (-368.136179972704 mul sin((-0.007844134117793984 add (-0.005329919839103154 mul x_2))))) mul (sin((-0.005165546022523659 add (-0.003197303972578484 mul (x_1 mul sqrt((3.991060771306561 add (-2.0326359241387664 mul x_2))))))) mul ((123.43361428405255 mul x_1) add (399.16338261075305 mul sin((-1.8774136656404177 add (-0.3425033087444267 mul x_2))))))))
227_cpu_small,failed,0,lso,nan,nan,nan,nan,Input dimension 12 exceeds max_input_dimension 10,0.1,
228_elusage,success,2,lso,-7.862168247457525,80.12514959589788,21,277.16553235054016,,0.1,(-35.85517956887641 add (inv((-2.734143943651393 add (0.1292923527070514 mul x_0))) mul ((5.337148368705354 mul x_0) add (27.424634608484244 mul sin((-16.93108545410894 add (-59.47281015760284 mul x_0)))))))
230_machine_cpu,success,6,lso,0.8680653349807039,47.152942319491046,30,236.8010425567627,,0.1,(-20971.782979972315 add ((10.126956256891114 mul ((45.530311988903385 add (0.0011452983921950786 mul x_3)))**2) add (9.275536879098941e-05 mul (inv((1.2788739827682893 add (1.1094386745013776 mul x_0))) mul abs(((-6729.367008468947 mul x_1) sub (29.115515856069532 mul (x_2 mul x_5))))))))
505_tecator,failed,0,lso,nan,nan,nan,nan,Input dimension 124 exceeds max_input_dimension 10,0.1,
522_pm10,success,7,lso,-1.2783939412221006,1.5322105569914433,73,1199.9170107841492,,0.1,(1.719538577500017 add ((0.024832990382449936 mul (((-1.6804191317990278 mul (((-2.351670721477963 mul x_3) sub (-0.46473829219979107 mul x_2)) mul ((-9.879731242570088e-05 mul x_6) add (0.3298994118101836 mul x_3)))) sub (0.4462467518598021 mul ((1.7232043928810787 add (0.035528047621454416 mul x_1)))**2)) mul ((1.1978405338064109 mul x_0) sub (-13.542611630526794 mul cos((-0.7360746066910274 add (-0.07290681980982128 mul (cos((2.6882815289144664 add (-0.7709422751148581 mul x_3))) mul ((-11.251897954832373 mul x_1) sub (77.283986191132 mul cos((-0.2625645206267746 add (-8.58161116310338 mul x_6))))))))))))) add ((0.24506650862252843 mul x_0) add ((-0.018779668895128443 mul x_2) sub (-0.0007918201005688998 mul x_1)))))
527_analcatdata_election2000,failed,0,lso,nan,nan,nan,nan,Input dimension 14 exceeds max_input_dimension 10,0.1,
529_pollen,success,4,lso,0.8372803910604998,1.4144223775664946,17,219.86740899085999,,0.1,(-0.03237108976440949 add (((-0.4082599138352549 mul x_3) add (-0.024631451402423534 mul x_2)) add ((-0.8888827401877987 mul x_0) add (0.19671045006038168 mul x_1))))
537_houses,success,8,lso,0.4048759905929281,76139.75075315616,45,527.7996203899384,,0.1,(-754520.2378249142 add ((-1.4631366176395257 mul (((-0.0005654851485517015 mul ((-1263.6649104755436 add (39.40211216503407 mul x_6)))**2) add (0.0014001785711694307 mul x_4)) mul ((1.097982938986159 mul ((-140.49089577687624 add (-2.0738457539224 mul x_0)))**2) add (-0.16694177690259177 mul (((105.18069059094037 mul cos((1.1780442182066457 add (-0.606215683621022 mul x_0)))) add (0.3917862795387956 mul x_1)))**2)))) sub (-138.1504273150091 mul x_5)))
542_pollution,failed,0,lso,nan,nan,nan,nan,Input dimension 15 exceeds max_input_dimension 10,0.1,
547_no2,success,7,lso,0.4205411881501657,0.5926232388856397,67,978.4908874034882,,0.1,(3.4697787984922868 add (((-0.9527509205652013 mul x_2) add (-0.03646059535106271 mul x_1)) sub ((0.12832378650797302 mul (((0.012738073821593929 mul x_6) sub (-0.4470244919512332 mul (((0.01829711751362858 mul x_3) add (-0.6104363225754239 mul x_0)) mul ((0.49567192395118276 mul x_5) add (0.14030529616162257 mul ((-59.0165951376574 add (2.43138577702137 mul x_2)))**2))))) mul inv((-6.209187940940616 add (0.25523925004386616 mul x_2))))) add ((0.39753731903103035 mul cos((2.657725487762773 add (0.04412418514976686 mul x_6)))) sub ((0.41024927407147027 mul abs((0.6409705522774176 add (-7.069126617796302 mul x_0)))) sub (-0.0009135401867506546 mul x_4))))))
560_bodyfat,failed,0,lso,nan,nan,nan,nan,Input dimension 14 exceeds max_input_dimension 10,0.1,
561_cpu,success,7,lso,0.936101433669604,33.24474610344267,27,209.78340458869934,,0.1,(-3.6105988863151555 add ((0.7168743032239939 mul x_4) add ((0.004527108541514627 mul x_3) add (-0.4376322573673135 mul (((3.394018841942903e-05 mul x_1) sub (9.353344539644058e-06 mul x_2)) mul ((98.25691057858916 mul x_6) add (5.594835816485664 mul x_0)))))))
562_cpu_small,failed,0,lso,nan,nan,nan,nan,Input dimension 12 exceeds max_input_dimension 10,0.1,
564_fried,success,10,lso,0.9173213446403428,1.4193318167156534,45,709.9011511802673,,0.1,(-76.36388253052145 add (inv((-12.545475449892981 add (0.6572212152216209 mul x_4))) mul (((-122.40224491332432 mul x_3) sub ((79.06429445553368 mul ((0.8401602080474577 add (-1.5924228149550461 mul x_2)))**2) add (-2.1438638758274178 mul x_1))) add ((-42.61507340024541 mul ((-5.176085110641753 add (0.03189806633353118 mul x_0)))**2) add (0.19824266149812397 mul inv((0.001111732362769053 add (0.004875494623434295 mul (x_1 mul x_0)))))))))
573_cpu_act,failed,0,lso,nan,nan,nan,nan,Input dimension 21 exceeds max_input_dimension 10,0.1,
574_house_16H,failed,0,lso,nan,nan,nan,nan,Input dimension 16 exceeds max_input_dimension 10,0.1,
579_fri_c0_250_5,success,5,lso,0.9471094268596962,0.22195483558478488,53,607.513130903244,,0.1,(-4.018436044689242 add ((0.6255243982465191 mul x_3) add ((0.3029220493162352 mul x_4) add ((0.028762980814679543 mul (x_2 mul x_0)) add ((239.63855849981562 mul (x_2 mul ((0.0013577345992985478 mul x_2) sub (2.8964067772063104e-06 mul inv((0.023751477310074244 add (-0.2315970721542509 mul x_3))))))) add (4.668544444465139 mul cos((-0.975872808199748 add (-423.8043017194821 mul (cos((-1.5927567454862233 add (-0.012927492587882587 mul x_1))) mul cos((-1.5188049986731016 add (0.031342192504492716 mul x_0)))))))))))))
581_fri_c3_500_25,failed,0,lso,nan,nan,nan,nan,Input dimension 25 exceeds max_input_dimension 10,0.1,
582_fri_c1_500_25,failed,0,lso,nan,nan,nan,nan,Input dimension 25 exceeds max_input_dimension 10,0.1,
583_fri_c1_1000_50,failed,0,lso,nan,nan,nan,nan,Input dimension 50 exceeds max_input_dimension 10,0.1,
584_fri_c4_500_25,failed,0,lso,nan,nan,nan,nan,Input dimension 25 exceeds max_input_dimension 10,0.1,
586_fri_c3_1000_25,failed,0,lso,nan,nan,nan,nan,Input dimension 25 exceeds max_input_dimension 10,0.1,
588_fri_c4_1000_100,failed,0,lso,nan,nan,nan,nan,Input dimension 100 exceeds max_input_dimension 10,0.1,
589_fri_c2_1000_25,failed,0,lso,nan,nan,nan,nan,Input dimension 25 exceeds max_input_dimension 10,0.1,
590_fri_c0_1000_50,failed,0,lso,nan,nan,nan,nan,Input dimension 50 exceeds max_input_dimension 10,0.1,
591_fri_c1_100_10,success,10,lso,0.8755179774754099,0.3220283540480023,39,489.6971504688263,,0.1,(0.1686860911300093 add (((0.2284268419781178 mul x_4) sub ((-3.6663474997700183 mul x_1) sub ((0.5123152428564097 mul x_2) sub ((-0.3354662389209925 mul x_3) add (-5.836476295450117 mul arctan(((-0.21054367372869096 mul x_2) add (-1.1044586568698582 mul x_1)))))))) mul sin((1.656402151012569 add (-0.5508491966175474 mul (x_0 mul (x_1 mul x_0)))))))
592_fri_c4_1000_25,failed,0,lso,nan,nan,nan,nan,Input dimension 25 exceeds max_input_dimension 10,0.1,
593_fri_c1_1000_10,success,10,lso,0.7556944743919852,0.48476846228867715,67,1131.8020901679993,,0.1,(-0.07342535203313874 add (inv((34.83613402668433 add (-9.183997719595267 mul x_0))) mul (((1.197046627082401 mul x_9) sub (-15.403699482039093 mul x_3)) add ((5.497245340421543 mul (((-2.38013053111249 mul x_4) add (61.768941340784146 mul (((-0.004554589026928063 mul x_6) sub (-5.917811117811631 mul inv((12.860672422413405 add (0.025300101580413705 mul x_4))))) mul x_1))) mul inv((-1.9286628462872393 add (0.0028259444465238925 mul x_8))))) sub ((125.05133163625717 mul arctan((-0.04202594577229303 add (-0.5152133882150841 mul ((x_1 mul x_0) mul x_1))))) add ((1.3960741966289834 mul x_3) add (11.738552866735791 mul x_2)))))))
594_fri_c2_100_5,success,5,lso,0.6896404478226974,0.5824686720753951,49,405.7185459136963,,0.1,(0.7813157913827095 add (((-3.169885305760581 mul (((0.3694633632348849 mul x_1) sub (0.7098679427602792 mul x_0)) mul x_2)) add (7.1597290140202485 mul sin((4.782142021500018 add (0.4112367989449495 mul x_3))))) mul (sin((-0.3675333703544553 add (-1.2470907406592038 mul x_1))) mul (cos((-7.747957018630488 add (-0.008635520094175533 mul x_4))) mul ((6.292042725298662 mul x_0) add (-12.636831340052149 mul cos((-7.709390394581533 add (0.7946500562731347 mul x_0)))))))))
595_fri_c0_1000_10,success,10,lso,0.8329889098850768,0.4807929763470545,57,751.0905606746674,,0.1,(0.5759691363515429 add (inv((80.97259316147523 add (-2.499680547097362 mul (x_7 mul x_6)))) mul (((123.70596931324498 mul arctan((-0.3654107475217078 add (0.43762790457490874 mul x_3)))) add (0.534121920806381 mul x_8)) sub ((-0.8414277789861798 mul x_9) add ((-27.092079512673124 mul x_4) sub ((35.08902772376533 mul x_1) add ((0.3756621969581788 mul x_5) sub ((-4.131095932771051 mul ((0.07505127828619863 add (-2.5402555092649735 mul x_2)))**2) add (0.25277558668243033 mul ((-8.799526315284828 add (7.239344823248156 mul x_0)))**2)))))))))
596_fri_c2_250_5,success,5,lso,0.9023342806270618,0.3203992000747214,35,393.99833631515503,,0.1,(-0.3684160800776215 add (((-0.2363735885794345 mul x_4) sub (-1.5101482217853692 mul sin(((1.6012765666297126 mul x_1) add (1080.295226629128 mul (sin((-0.23835041163390114 add (-0.13386180030903524 mul x_1))) mul arctan((0.0013514653457051622 add (-0.004596951144849445 mul x_0))))))))) mul cos((2.7904307703111764 add (0.24012931436249024 mul x_3)))))
