dataset,status,n_features,refinement_type,r2,rmse,complexity,seconds,error,noise_strength,expr
1030_ERA,success,4,lso,0.34485309992157054,1.7510995263339777,46,700.883823633194,,0.0,(186.34778457105858 add ((-1.3561719841744362 mul x_3) add ((0.1795091536498974 mul x_0) sub ((51.55899508079109 mul (((-0.1 mul x_4) sub (-8.250838126802357 mul sin((0.12725352125636777 add (-6.835764056546822e-05 mul x_2))))) mul ((-0.027914164108602674 mul sin((-0.10343265518290182 add (5.884989146054762 mul x_1)))) add (6432.749868148917 mul inv((1883.0214630820187 add (16.06576184372463 mul x_3))))))) sub (-0.04 mul x_5)))))
1089_USCrime,failed,0,lso,nan,nan,nan,nan,Input dimension 13 exceeds max_input_dimension 10,0.0,
1096_FacultySalaries,success,4,lso,0.8894024308832142,2.0331066247469987,11,119.56665253639221,,0.0,(23.21473453136573 add (((-0.006404014816580547 mul x_2) add (0.014715317036845497 mul x_1)) mul x_3))
1199_BNG_echoMonths,success,9,lso,0.3249799435045889,12.020749497706325,43,1237.608763217926,,0.0,(26.472667216765483 add (inv((14.593365929218665 add (1.108221372398437 mul x_2))) mul ((1.6641741349666952 mul (((0.4711555087357644 mul x_6) add (14.695886868824962 mul sin(((-0.15374870967536827 mul x_7) add (0.3977007776561165 mul inv((0.12577423817605057 add (-0.0012768571560414941 mul x_4)))))))))**2) add ((-0.4481246220856225 mul ((x_5 mul x_8) mul x_1)) add (-236.55462081813596 mul x_0)))))
192_vineyard,success,2,lso,0.49686845024476667,3.836318822488694,33,598.8782513141632,,0.0,(11.528150776138526 add ((1.5375585559420935 mul x_0) add (4.659161124744554 mul cos(((0.8758563225495569 mul inv((0.689705480338825 add (-0.02961579112096661 mul x_1)))) add (-3.158852376087316 mul sin((-0.06379881570226768 add (7.5301645003378965 mul (x_0 mul cos((1.6237571294553517 add (-98.75634472850089 mul x_0)))))))))))))
197_cpu_act,failed,0,lso,nan,nan,nan,nan,Input dimension 21 exceeds max_input_dimension 10,0.0,
218_house_8L,success,8,lso,0.4574859469580542,35514.9973648432,44,1567.0665428638458,,0.0,(18452.33603816525 add ((0.541565184379875 mul ((549.0342109543943 add (-1339.6084359305753 mul x_2)))**2) sub ((-2.301333805062422 mul (((-64.65863426665697 mul x_7) add (-117.88743592005686 mul arctan((-0.6717771372788626 add (-0.28899862875818727 mul (x_1 mul x_0)))))))**2) sub ((685.7799989874724 mul (x_4 mul ((-123.93012325050427 mul x_3) sub (-420.1911952474672 mul x_5)))) sub (-50.4597867698721 mul x_6)))))
225_puma8NH,success,8,lso,0.4570973354306591,3.653732331900281,41,602.7476546764374,,0.0,(-10.291569619354977 add ((4.002707754601531 mul abs((0.04417655621493912 add (-0.23474974343218827 mul x_0)))) add ((13.249991369023174 mul cos((-6.578725175421019 add (0.5297850887121086 mul x_1)))) sub (-5.005705304336881 mul cos((-1.6655089327779433 add (-1.6030635247489997 mul (cos((1.4820830093980757 add (0.003673162824607938 mul x_1))) mul ((-7.036051504740723 mul x_1) add (-8.780523136418896 mul x_2))))))))))
227_cpu_small,failed,0,lso,nan,nan,nan,nan,Input dimension 12 exceeds max_input_dimension 10,0.0,
228_elusage,success,2,lso,0.5572876276758536,17.908519641339332,35,226.6984667778015,,0.0,(19.759648056253685 add (((-1.3759945284030861 add (0.017205329035517816 mul x_0)))**2 mul ((0.5011018330965755 mul (cos((3.8055024203926764 add (-0.33530354388777617 mul x_0))) mul x_0)) sub (-21.248369095964524 mul ((2.0689326542276767 add (0.061320795490999336 mul (cos((8.470299548330171 add (74.74738562490708 mul x_0))) mul x_1))))**2))))
