noise_strength,group,r2_mean,r2_std,r2_valid_count,total_count,recovery_rate,complexity_mean,complexity_std,complexity_count,seconds_mean,seconds_std,seconds_count
0,Feynman,0.9546132776853231,0.10651871398901985,119,119,0.9243697478991597,24.33613445378151,8.278023259883115,119,167.8315090271605,180.0774154426653,119
0,Strogatz,0.9760809655011701,0.033379655055023404,14,14,0.9285714285714286,20.071428571428573,7.468641927746835,14,81.2956852231707,86.92251892910997,14
0,Black-box,0.7329008698600014,0.24267260392385773,68,107,0.2647058823529412,38.5735294117647,15.980057587018548,68,536.3021421572741,359.1036806935912,68
0.001,Feynman,0.9534350711819305,0.11501766970778793,119,119,0.9243697478991597,23.30252100840336,7.0324035383977765,119,165.28373549565546,179.07410512329508,119
0.001,Strogatz,0.987279103888323,0.018086560385403534,14,14,1.0,21.142857142857142,8.087531345553234,14,74.1841710294996,89.62995326296223,14
0.001,Black-box,0.7631369632255267,0.22130185724999682,64,107,0.359375,36.35294117647059,13.498109569036556,68,460.9582600418259,283.2225338732198,68
0.01,Feynman,0.953683807453231,0.11604643429782983,119,119,0.9243697478991597,23.352941176470587,6.9639989420912,119,170.7025584433259,174.3206928553093,119
0.01,Strogatz,0.9697197415267558,0.04037468276537749,14,14,0.8571428571428571,19.428571428571427,6.114552731152199,14,126.31867807252067,118.49861688113226,14
0.01,Black-box,0.7369713268943985,0.2709781468651744,68,107,0.36764705882352944,38.720588235294116,15.78052186216332,68,498.4525249179672,328.7828296994861,68
0.1,Feynman,0.9641560975765282,0.06691566652652976,117,119,0.9401709401709402,22.764705882352942,7.70649173291331,119,284.51732777547437,133.3659878475239,119
0.1,Strogatz,0.963204717114088,0.08611212696806841,14,14,0.9285714285714286,20.642857142857142,7.517666268360746,14,170.5525460754122,131.52209191788018,14
0.1,Black-box,0.7329573860117394,0.23748411161865945,62,107,0.25806451612903225,39.8235294117647,13.21089253839042,68,532.607316606185,297.20230308836483,68
