dataset,status,n_features,refinement_type,r2,rmse,complexity,seconds,error,noise_strength,expr
1030_ERA,success,4,lso,0.4168786051028187,1.4985997082306166,94,13737.537801265717,,0.01,(-0.06810985992967233 add ((0.29981790080474596 mul (((-0.11847186470972676 mul sin((-3.2120264499441475 add (9.255963169268968 mul x_3)))) sub (-0.07799946742131281 mul cos((-14.325932352362363 add (1.1554665050958268 mul x_2))))) mul ((-1.8909228158448455 mul x_1) add ((12.529324957514751 mul cos((1.41201237397596 add (8.736987117439075 mul x_0)))) add (-0.002215242686246474 mul x_2))))) sub ((-0.12182192715036967 mul (((((-0.6076347154009634 mul x_2) add (-7.36445840195615 mul cos((6.931778529665788 add (-0.6474102692413313 mul x_3))))) add (-1.0617331521401885 mul x_3)) add (0.8585297627593194 mul x_1)) mul ((-0.06820877787123772 mul x_3) sub ((-0.029319218359528238 mul x_0) add (-0.5567644834305321 mul cos((8.920203473592123 add (-0.3843972277087869 mul x_1)))))))) add ((-0.1502487484405232 mul x_0) add ((-0.15146063393070483 mul x_2) add ((-0.13468575617334763 mul x_1) add (-0.14468575617379623 mul x_1)))))))
1089_USCrime,failed,0,lso,nan,nan,nan,nan,Input dimension 13 exceeds max_input_dimension 10,0.01,
1096_FacultySalaries,success,4,lso,0.8154462477103486,2.6263270366087945,36,866.522791147232,,0.01,(5.320326040184207 add ((0.002455808420742475 mul (((612.2144706694294 mul x_3) sub (550.716121295071 mul x_1)) mul cos((-0.10740823296277402 add (2.9302139446531963 mul (cos((-1.7936441648280694 add (-1.0133965843714834 mul x_2))) mul cos((2.361772461939987 add (-2.691471584492685 mul (x_0 mul x_3)))))))))) sub (-0.6501853389887408 mul x_1)))
1199_BNG_echoMonths,success,9,lso,0.4491890621643345,11.745001597676199,58,13080.094261169434,,0.01,(29.576524242215964 add (inv((8.677062405675747 add (-0.5866865890013027 mul x_7))) mul ((0.027807510938952104 mul (((-43.44980549519865 mul sin((7.364475501424378 add (-12.383993388979762 mul x_8)))) add (1.903191988543326 mul x_4)))**2) add ((-3.8957993231903365 mul (((-0.0001209242224303759 mul x_6) add (-0.5339569908782997 mul x_3)) mul ((2.4883849393687214 mul x_5) sub (51.67234907068962 mul x_2)))) add ((-130.2099979947771 mul x_0) sub (-0.011487077393796376 mul (x_1 mul ((-65.60497481081086 mul x_8) sub (18.868612372142763 mul x_7)))))))))
192_vineyard,success,2,lso,0.5222674685869667,3.738232637057163,35,1714.4927015304565,,0.01,(9.583673159305462 add ((2.0648141543120753 mul x_0) add (4.817661382312834 mul sin(((1.1551355210123553 mul cos((3.4802413854508907 add (0.3165689461192014 mul x_1)))) add ((0.5571942527737856 mul sin((-3.7265481900935695 add (9.570901702513568 mul x_0)))) sub (1.8607385357293973 mul sin((1.0807236340573971 add (-0.8276808906791471 mul x_0))))))))))
197_cpu_act,failed,0,lso,nan,nan,nan,nan,Input dimension 21 exceeds max_input_dimension 10,0.01,
218_house_8L,success,8,lso,0.4303619543783245,39726.483198734895,37,4660.834920167923,,0.01,(7518.43804278444 add (((0.054141247514180084 mul ((-104.79040991437111 add (32.64122812367934 mul x_6)))**2) add (-114.08148026269328 mul x_4)) mul ((-60.452502838418226 mul x_3) add ((244.38808520507655 mul x_2) add ((1291.0948086676685 mul x_1) sub (-9.612503440265398 mul abs(((-0.273141914249237 mul x_5) add (4.4820608843028244e-08 mul x_0)))))))))
225_puma8NH,success,8,lso,0.6831519711984879,3.2156588424772403,28,1617.6571362018585,,0.01,(-0.6126236557276621 add (cos((2.564328821357173 add (0.6249692021937001 mul x_2))) mul ((-9.449798391695888 mul cos(((-0.9884591021465021 mul x_1) add (-2.3824567501870995 mul exp((0.7564460420928961 add (0.12232410966359197 mul x_2))))))) sub (-0.08845100503919788 mul x_0))))
227_cpu_small,failed,0,lso,nan,nan,nan,nan,Input dimension 12 exceeds max_input_dimension 10,0.01,
228_elusage,success,2,lso,0.07520557495350166,25.883408077508125,28,435.64581322669983,,0.01,(149.18115416141043 add ((-0.901717273176359 mul x_0) add (-66.22222870353676 mul cos(((-0.05194015961580173 mul x_1) add (123.00676506620105 mul (inv((-301.2423378103201 add (12.122642150621513 mul x_0))) mul cos((-0.37335472464739516 add (87.30474567238063 mul x_0))))))))))
230_machine_cpu,success,6,lso,0.9316909609235139,49.451697233969035,26,449.5591552257538,,0.01,(0.2295125347487534 add ((0.0184304593490875 mul x_1) add ((-6.416744980479029 mul (x_4 mul sin((-149.16927897058787 add (4.173228677180851 mul x_0))))) sub ((-1.0687727032888636 mul x_3) sub (6.86263748777769e-05 mul (x_5 mul x_2))))))
505_tecator,failed,0,lso,nan,nan,nan,nan,Input dimension 124 exceeds max_input_dimension 10,0.01,
522_pm10,success,7,lso,0.07309794772554645,0.8249055126490327,61,5475.028707265854,,0.01,(1.4993024636966257 add ((0.30459501313883625 mul x_0) sub ((0.008361055072201565 mul (((0.7731504049424575 mul sin((-0.32314220778470637 add (0.6087433955092376 mul x_2)))) sub (-0.48347257960942286 mul cos((-5.067426222569145 add (-7.2482975195963615 mul x_3))))) mul ((71.5858128273454 mul cos((-0.7059806313414574 add (4.591794441760773 mul x_3)))) sub (-95.69139578797207 mul cos((1.32156195917237 add (-0.08829193415619596 mul x_1))))))) sub ((0.005519160335807566 mul (((1.4174426198091847 mul x_1) sub (3.8807276316711894 mul x_2)) mul x_2)) sub (-0.0013730476615525968 mul (x_1 mul x_1))))))
527_analcatdata_election2000,failed,0,lso,nan,nan,nan,nan,Input dimension 14 exceeds max_input_dimension 10,0.01,
529_pollen,success,4,lso,0.7972608223336504,1.4267851205006514,13,321.1954574584961,,0.01,(0.01382074475412378 add ((-0.8462176533761403 mul x_0) sub ((-0.21766752156831434 mul x_1) add (0.39288518922787374 mul x_3))))
537_houses,success,8,lso,0.6472256443549685,68637.60700561092,42,4433.817799329758,,0.01,(2329301.6309103193 add ((-1.9922466216776944 mul ((-1163.9146533934054 add (8.566948003778062 mul x_0)))**2) add ((156.2195895714217 mul (((-222.51510163834797 mul sin((727.5688206311203 add (-0.017007636528778833 mul x_7)))) add (2.812558465555775 mul x_6)))**2) add ((0.8528955977522592 mul (((4.180834994837187 mul x_1) add (0.0031901517605503324 mul x_2)) mul x_5)) sub (31.78476733920425 mul x_4)))))
542_pollution,failed,0,lso,nan,nan,nan,nan,Input dimension 15 exceeds max_input_dimension 10,0.01,
547_no2,success,7,lso,0.49289473492235625,0.5569394517445692,35,5758.130171537399,,0.01,(-1.26000197129344 add (inv((-70232.46977740491 add (-479.11816344906293 mul x_4))) mul ((15724.117566274834 mul x_2) sub ((-3404.6544876555076 mul x_1) add ((0.0012742758546079019 mul abs(((1954256.0027775574 mul x_4) add ((-1737833.4260639448 mul x_5) add (6030316.69500219 mul x_3))))) sub (-58825.0814934193 mul x_0))))))
560_bodyfat,failed,0,lso,nan,nan,nan,nan,Input dimension 14 exceeds max_input_dimension 10,0.01,
561_cpu,success,7,lso,0.9634737698666896,33.528239314154646,19,200.41239643096924,,0.01,(-14.395172170706136 add ((0.004473608678271233 mul x_3) add ((0.4858096703074071 mul x_0) add ((0.7103022469377497 mul x_4) sub (-0.0004140326064961736 mul (x_2 mul x_6))))))
562_cpu_small,failed,0,lso,nan,nan,nan,nan,Input dimension 12 exceeds max_input_dimension 10,0.01,
564_fried,success,10,lso,0.9593360294116717,1.01307727689926,39,942.5006330013275,,0.01,(22.06834943903173 add ((9.979970603120053 mul x_3) sub ((-5.011087733089916 mul x_4) add ((-13.54144817172173 mul cos((7.585457901797709 add (-2.598325792796858 mul (x_1 mul x_0))))) sub ((0.03943244521534872 mul ((x_5 mul (x_7 mul x_6)) mul x_9)) add (-25.709749883202765 mul cos((0.6284590548155823 add (-1.2630314438887962 mul x_2)))))))))
573_cpu_act,failed,0,lso,nan,nan,nan,nan,Input dimension 21 exceeds max_input_dimension 10,0.01,
574_house_16H,failed,0,lso,nan,nan,nan,nan,Input dimension 16 exceeds max_input_dimension 10,0.01,
579_fri_c0_250_5,success,5,lso,0.9532192532030055,0.2205863148777227,44,764.1944913864136,,0.01,(-0.7742304602246664 add (((0.2889566124554632 mul x_4) sub (-0.6078634166475255 mul x_3)) add ((0.08691776440909163 mul (((3.9058439325456815 mul x_2) sub (-0.019246132584933913 mul x_4)) mul x_2)) sub (-1.413230342311282 mul sin(((0.6107478349611214 mul x_1) add (2.746120431620134 mul arctan((0.2246339365589109 add (4.54691337645701 mul (x_0 mul ((0.21765230548000145 add (0.06434349934859193 mul x_1)))**2)))))))))))
581_fri_c3_500_25,failed,0,lso,nan,nan,nan,nan,Input dimension 25 exceeds max_input_dimension 10,0.01,
582_fri_c1_500_25,failed,0,lso,nan,nan,nan,nan,Input dimension 25 exceeds max_input_dimension 10,0.01,
583_fri_c1_1000_50,failed,0,lso,nan,nan,nan,nan,Input dimension 50 exceeds max_input_dimension 10,0.01,
584_fri_c4_500_25,failed,0,lso,nan,nan,nan,nan,Input dimension 25 exceeds max_input_dimension 10,0.01,
586_fri_c3_1000_25,failed,0,lso,nan,nan,nan,nan,Input dimension 25 exceeds max_input_dimension 10,0.01,
588_fri_c4_1000_100,failed,0,lso,nan,nan,nan,nan,Input dimension 100 exceeds max_input_dimension 10,0.01,
589_fri_c2_1000_25,failed,0,lso,nan,nan,nan,nan,Input dimension 25 exceeds max_input_dimension 10,0.01,
590_fri_c0_1000_50,failed,0,lso,nan,nan,nan,nan,Input dimension 50 exceeds max_input_dimension 10,0.01,
