noise_strength,group,r2_mean,r2_std,r2_valid_count,total_count,recovery_rate,complexity_mean,complexity_std,complexity_count,seconds_mean,seconds_std,seconds_count
0,Feynman,0.9856150303161556,0.017808192364032686,119,119,1.0,23.88235294117647,7.308538198444447,119,300.9716686561328,348.89813241785225,119
0,Strogatz,0.9343442058800442,0.15505809790955588,14,14,0.8571428571428571,20.428571428571427,7.8532457867912875,14,67.14288766043526,90.84998580218226,14
0,Black-box,0.8124717776254313,0.21355397453621622,64,107,0.546875,34.38235294117647,12.013508832296575,68,1683.1068430157268,2320.353075135915,68
0.001,Feynman,0.9852509463913202,0.020253738984259112,119,119,0.9915966386554622,23.630252100840337,6.8573282229023595,119,281.689781723904,359.03857062650764,119
0.001,Strogatz,0.9227387320655137,0.2350733391571114,14,14,0.9285714285714286,20.642857142857142,8.363245634980501,14,75.52174707821437,123.54287609962837,14
0.001,Black-box,0.8218220891118333,0.2062028944240363,66,107,0.5606060606060606,33.955882352941174,12.9551645658145,68,1609.4942944295267,2204.183628778648,68
0.01,Feynman,0.984222747556422,0.019441117183776342,119,119,1.0,23.51260504201681,7.107654231597157,119,286.28035865711564,311.13818760325313,119
0.01,Strogatz,0.9248680247109945,0.23749419605308036,14,14,0.9285714285714286,20.857142857142858,8.433412653225966,14,76.98209754058293,90.22018607962477,14
0.01,Black-box,0.7921756422120467,0.24052623842597948,67,107,0.5522388059701493,34.38235294117647,13.976902597799475,68,1534.935194625574,2391.3622229937305,68
0.1,Feynman,0.9818831312246679,0.03184897179386604,119,119,0.9831932773109243,21.899159663865547,7.79290234924881,119,537.5993117885429,322.60884680401455,119
0.1,Strogatz,0.9595153835969921,0.08601095307476643,14,14,0.9285714285714286,20.714285714285715,7.468300355775847,14,335.4558620112283,224.9041848638279,14
0.1,Black-box,0.7560618198868319,0.2647375024668309,63,107,0.49206349206349204,36.720588235294116,13.861548156718932,68,1715.55985697578,2810.232410881373,68
