dataset,status,n_features,refinement_type,r2,rmse,complexity,seconds,error,noise_strength,expr
1030_ERA,success,4,lso,0.2637857407280273,1.8562804796410861,60,567.08611369133,,0.01,(2.9030093394604815 add (((6.4550545914450375 mul (inv((1.859783248153971 add (-1.721699963045706 mul x_0))) mul (((0.09884951868380148 mul x_2) sub (2.9336624012512296 mul sin((-4.077160865341319 add (8.58165809274387 mul x_1))))) mul ((1.2841123468400648 mul x_3) sub (-39.84705001822063 mul inv((-44.423569504640476 add (-1.5506042287052004 mul x_1)))))))) sub (-8.801054182051615 mul x_0)) mul arctan((-0.015148046099948227 add (0.000536062981826609 mul (((6.017986972304454 mul x_2) add (13.576342015294085 mul x_1)) mul exp((-0.6041942251277908 add (-0.007319202623190703 mul x_0)))))))))
1089_USCrime,failed,0,lso,nan,nan,nan,nan,Input dimension 13 exceeds max_input_dimension 10,0.01,
1096_FacultySalaries,success,4,lso,0.7820146852732652,2.854308975802661,33,347.8583986759186,,0.01,(53.04614447651094 add (inv((-1585.9353411739412 add (9.417356203846204 mul x_1))) mul abs(((-270.52361348511585 mul x_0) add ((-0.0033038542421165752 mul exp((16.842584784605563 add (0.00827222103733648 mul x_3)))) add (23.804863298370805 mul abs(((49.83283873096762 mul x_2) add (-131.36294354375656 mul x_1)))))))))
1199_BNG_echoMonths,success,9,lso,0.3899256607683611,11.427851480411487,71,991.2124762535095,,0.01,(-77.97113751794134 add ((((-0.08011095657402094 mul (((-4.067338049737985 mul (x_7 mul x_6)) sub (-0.0040135378812862915 mul (((137.9410649165629 mul x_2) sub (18.164385110306466 mul x_4)) mul x_4))) mul ((-202.85422117489884 mul x_8) sub (4.456736128493312 mul x_4)))) sub (10.873028415816902 mul x_1)) add ((13.825563205050567 mul exp((7.73739283806241 add (-0.17260842997077724 mul x_0)))) add (-0.0770415058423174 mul x_3))) mul ((0.0007325402883373201 mul exp((1.516946414447997 add (0.04162898970353979 mul x_7)))) add (-7.2 mul inv((-3.0 add (-0.3 mul (exp((7.5 add (87.8 mul x_5))) mul x_6))))))))
192_vineyard,success,2,lso,0.47801992542844274,3.9075170301729556,31,460.02691197395325,,0.01,(24.318081767334636 add ((1.6999930807300243 mul cos((-2.075501835084885 add (2.2767942535736605 mul x_1)))) sub (-16.346203369596097 mul sin(((-4.758273163163181 mul inv((-0.8963475304079637 add (6.127639137759697 mul x_0)))) add (-0.1321067532003779 mul sin((1.9471931852213507 add (2.0669786940202495 mul x_0)))))))))
197_cpu_act,failed,0,lso,nan,nan,nan,nan,Input dimension 21 exceeds max_input_dimension 10,0.01,
218_house_8L,success,8,lso,0.439798858326339,36089.28561794394,51,904.7016580104828,,0.01,(11491.456161931914 add ((0.15085587388806462 mul (((-34.83303671584749 mul (((-0.9139664693783459 mul ((0.1739820955201247 add (0.23252819740920225 mul x_2)))**2) sub (-0.06356859461521283 mul x_3)) mul ((5.508254533658572 add (-2.902398157660175 mul x_7)))**2)) sub (-0.7149720662262367 mul x_6)) mul exp(((-0.09398298672143779 mul x_6) add (7.006111176252643 mul arctan((3.6618280632177753 add (365.9808536559826 mul x_1)))))))) add ((18022.18659437399 mul x_5) sub (0.561965185453808 mul x_0))))
225_puma8NH,success,8,lso,0.06196597420389549,4.802695337454675,73,1038.7323641777039,,0.01,(6.184972042698097 add ((-0.9150225530555491 mul (((0.9892744394553099 mul (((0.022618843200016312 mul x_5) sub (2.396344224350016 mul x_6)) mul ((-1.3209117250165585 mul x_2) sub (0.222099021838891 mul x_3)))) sub (-0.15199575967463805 mul x_0)) mul ((1.1844803607984429 mul x_7) add (-2.3519256981318875 mul x_6)))) sub ((0.3792123914362227 mul abs((2.644074649043137 add (-1.1942564397294264 mul x_6)))) add ((-0.556350348673136 mul (((0.0698468003042344 mul x_0) add (0.4292461076108843 mul cos((-0.6328605718925122 add (0.4168023363927928 mul x_3))))) mul abs((5.835326095785645 add (-10.9626800350215 mul x_0))))) add (1.6433917106595788 mul abs((2.0943337659961077 add (-3.1000060868425128 mul x_1))))))))
227_cpu_small,failed,0,lso,nan,nan,nan,nan,Input dimension 12 exceeds max_input_dimension 10,0.01,
228_elusage,success,2,lso,0.7206105177318114,14.226690526815137,27,179.8587212562561,,0.01,(21.393387811490562 add (((-99.18443326128856 add (1.3329118561817828 mul x_0)))**2 mul abs((-0.018794269733553536 add (0.018225297938810975 mul (sin((0.0130261957081654 add (5.958039396839747 mul x_1))) mul sin((-6.024804573727984 add (0.41153569023137004 mul x_0)))))))))
